rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,618,O
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,623,O
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,3,모집 예정금액,651,O
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,659,O
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,5,인수에 관한 사항,676,O
20260911000035,1,제1부. 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,680,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,1,집합투자기구의 명칭,751,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,2,집합투자기구의 연혁,756,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,762,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,4,집합투자업자,770,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,5,운용전문인력,813,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,6,집합투자기구의 구조,857,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,886,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,915,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 투자방침 및 수익구조",1180,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1481,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,11,"매입, 환매, 전환 절차 및 기준가격 적용 기준",1942,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,12,기준가격 산정 기준 및 집합투자재산의 평가,2229,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,2300,O
20260911000035,2,제2부. 집합투자기구에 관한 사항,14,이익 배분 및 과세에 관한 사항,,X
20260911000035,3,제3부. 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2575,O
20260911000035,3,제3부. 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매 현황,2788,O
20260911000035,3,제3부. 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2793,O
20260911000035,4,제4부. 집합투자기구 관련 회사에 관한 사항,1,집합투자업자에 관한 사항,2814,O
20260911000035,4,제4부. 집합투자기구 관련 회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2912,O
20260911000035,4,제4부. 집합투자기구 관련 회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2959,O
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,3065,O
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,2,집합투자증권의 해지에 관한 사항,,X
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,3270,O
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,3402,O
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,3429,O
20260911000035,5,제5부. 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,3438,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,441,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,447,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,459,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,4,모집기간 및 모집장소,464,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,471,O
20260911000056,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,474,O
20260911000056,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,625,O
20260911000056,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,631,O
20260911000056,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,649,O
20260911000056,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,655,O
20260911000056,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,667,O
20260911000056,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,718,O
20260911000056,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,745,O
20260911000056,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,752,O
20260911000056,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",983,O
20260911000056,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1116,O
20260911000056,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1491,O
20260911000056,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1737,O
20260911000056,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1834,O
20260911000056,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,1934,O
20260911000056,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2062,O
20260911000056,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,2151,O
20260911000056,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2166,O
20260911000056,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2257,O
20260911000056,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2337,O
20260911000056,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2347,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2444,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2561,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,2579,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,2723,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,2746,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,2749,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,416,O
