구분,ISU_CD,KRX종목명,펀드명,srtnCd,asoStdCd,설정일,후보수
일치,451060,1Q 200액티브,하나 1Q 200액티브증권상장지수투자신탁[주식],DZ875,K55102DZ8758,20230130,1
일치,0184E0,1Q 200채권혼합50액티브,하나 1Q 200채권혼합50액티브증권상장지수투자신탁[채권혼합],EU699,K55102EU6996,20260420,1
KRX매칭실패,491610,1Q CD금리액티브(합성),,,,,0
일치,0182R0,1Q K반도체TOP2+,하나 1Q K반도체TOP2+증권상장지수투자신탁[주식],EU090,K55102EU0908,20260413,2
일치,0182S0,1Q K반도체TOP2채권혼합50,하나 1Q K반도체TOP2채권혼합50증권상장지수투자신탁[채권혼합],EU092,K55102EU0924,20260413,1
일치,0103T0,1Q K소버린AI,하나 1Q K소버린AI증권상장지수투자신탁[주식],EN992,K55102EN9924,20250929,1
일치,0198D0,1Q SK하이닉스선물단일종목레버리지,하나 1Q SK하이닉스선물단일종목레버리지증권상장지수투자신탁[주식-파생형],EV795,K55102EV7951,20260522,1
일치,463290,1Q 단기금융채액티브,하나 1Q 단기금융채액티브증권상장지수투자신탁[채권],E3782,K55102E37825,20230802,1
일치,0131W0,1Q 단기특수은행채액티브,하나1Q단기특수은행채액티브증권상장지수투자신탁[채권],EP696,K55102EP6969,20251124,1
일치,479080,1Q 머니마켓액티브,하나 1Q 머니마켓액티브증권상장지수투자신탁 [채권],EA131,K55102EA1314,20240401,1
일치,0026S0,1Q 미국S&P500,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합),EK997,K55102EK9976,20250609,2
일치,0052S0,1Q 미국S&P500미국채혼합50액티브,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합),EK997,K55102EK9976,20250609,1
일치,0069M0,1Q 미국나스닥100,하나 1Q 미국나스닥100증권상장지수투자신탁[주식],EL529,K55102EL5296,20250620,2
일치,0111P0,1Q 미국나스닥100미국채혼합50액티브,하나 1Q 미국나스닥100미국채혼합50액티브증권상장지수투자신탁[채권혼합],EO119,K55102EO1193,20250926,1
일치,0083S0,1Q 미국메디컬AI,하나 1Q 미국메디컬AI증권상장지수투자신탁[주식],EM423,K55102EM4231,20250718,1
일치,0004G0,1Q 미국배당TOP30,하나 1Q 미국배당TOP30증권상장지수투자신탁[주식],EG657,K55102EG6572,20250117,1
일치,0131V0,1Q 미국우주항공테크,하나1Q미국우주항공테크증권상장지수투자신탁[주식],EP370,K55102EP3701,20251121,1
일치,0198B0,1Q 삼성전자선물단일종목레버리지,하나 1Q 삼성전자선물단일종목레버리지증권상장지수투자신탁[주식-파생형],EV794,K55102EV7944,20260522,1
일치,0094X0,1Q 샤오미밸류체인액티브,하나 1Q 샤오미밸류체인액티브증권상장지수투자신탁[주식],EN697,K55102EN6979,20250829,1
일치,0224X0,1Q 엔비디아알파벳미국채혼합50,하나 1Q 엔비디아알파벳미국채혼합50증권상장지수투자신탁[채권혼합],EX201,K55102EX2018,20260724,1
일치,0172V0,1Q 은액티브,하나 1Q 은액티브특별자산상장지수투자신탁[은-재간접형],ET025,K55102ET0257,20260327,1
일치,0017Y0,1Q 종합채권(AA-이상)액티브,하나 1Q 종합채권(AA-이상)액티브증권상장지수투자신탁[채권],EI057,K55102EI0573,20250224,1
일치,0052T0,1Q 중단기회사채(A-이상)액티브,하나 1Q 중단기회사채(A-이상)액티브증권상장지수투자신탁[채권],EJ993,K55102EJ9938,20250526,1
일치,495330,1Q 코리아밸류업,하나 1Q 코리아밸류업증권상장지수투자신탁[주식],EF979,K55102EF9791,20241101,1
일치,0186S0,1Q 코스닥150채권혼합50액티브,하나 1Q 코스닥150채권혼합50액티브증권상장지수투자신탁[채권혼합],EU878,K55102EU8786,20260427,1
일치,492500,1Q 현대차그룹채권(A+이상)&국고통안,하나 1Q 현대차그룹채권(A+이상)&국고통안증권상장지수투자신탁[채권],EE801,K55102EE8018,20240930,1
일치,0206G0,1Q 현대차기아채권혼합50,하나 1Q 현대차기아채권혼합50증권상장지수투자신탁(채권혼합),EV272,K55102EV2721,20260608,1
일치,473440,ACE 11월만기자동연장회사채AA-이상액티브,한국투자ACE11월만기자동연장회사채(AA-이상)액티브증권상장지수투자신탁(채권),E7552,K55101E75520,20231215,1
일치,105190,ACE 200,한국투자 ACE 200 증권 상장지수투자신탁(주식),87774,KR5101877748,20080910,2
KRX매칭실패,332500,ACE 200TR,,,,,0
일치,475260,ACE 2월만기자동연장회사채AA-이상액티브,한국투자 ACE 2월만기자동연장회사채AA-이상액티브증권상장지수투자신탁(채권),E8047,K55101E80470,20240119,1
일치,385600,ACE 2차전지&친환경차액티브,한국투자 ACE 2차전지&친환경차액티브증권상장지수투자신탁(주식),DH787,K55101DH7878,20210524,1
일치,475270,ACE 5월만기자동연장회사채AA-이상액티브,한국투자 ACE 5월만기자동연장회사채AA-이상액티브증권상장지수투자신탁(채권),E8048,K55101E80488,20240119,1
일치,475280,ACE 8월만기자동연장회사채AA-이상액티브,한국투자 ACE 8월만기자동연장회사채AA-이상액티브증권상장지수투자신탁(채권),E8049,K55101E80496,20240119,1
일치,469150,ACE AI반도체TOP3+,한국투자ACE AI반도체TOP3+증권상장지수투자신탁(주식),E6760,K55101E67600,20231016,1
일치,0079X0,ACE BYD밸류체인액티브,한국투자 ACE BYD밸류체인액티브증권상장지수투자신탁(주식),EJ766,K55101EJ7669,20250711,1
일치,385590,ACE ESG액티브,한국투자 ACE ESG액티브증권상장지수투자신탁(주식),DI360,K55101DI3603,20210524,1
KRX매칭실패,226380,ACE Fn성장소비주도주,,,,,0
일치,475050,ACE KPOP포커스,한국투자 ACE KPOP포커스증권상장지수투자신탁(주식),E7968,K55101E79688,20240129,1
일치,411060,ACE KRX금현물,한국투자 ACE KRX금현물특별자산상장지수투자신탁(금),DN744,K55101DN7441,20211213,1
일치,0221Z0,ACE K바이오코스닥액티브,한국투자 ACE K바이오코스닥액티브증권상장지수투자신탁(주식),EW231,K55101EW2317,20260720,1
일치,0210A0,ACE K반도체TOP2+,한국투자 ACE K반도체TOP2+증권상장지수투자신탁(주식),EW227,K55101EW2275,20260622,1
일치,0216Z0,ACE K방산TOP5+,한국투자ACEK방산TOP5+증권상장지수투자신탁(주식),EW228,K55101EW2283,20260706,1
일치,0172Y0,ACE K수출핵심TOP10산업액티브,한국투자ACEK수출핵심TOP10산업액티브증권상장지수투자신탁(주식),ES803,K55101ES8039,20260330,1
일치,0177X0,ACE K휴머노이드로봇산업TOP2+,한국투자 ACE K휴머노이드로봇산업TOP2+증권상장지수투자신탁(주식),EU021,K55101EU0214,20260406,1
KRX매칭실패,291130,ACE MSCI멕시코(합성),,,,,0
KRX매칭실패,256440,ACE MSCI인도네시아(합성),,,,,0
KRX매칭실패,261920,ACE MSCI필리핀(합성),,,,,0
일치,0194T0,ACE SK하이닉스단일종목레버리지,한국투자 ACE SK하이닉스단일종목레버리지증권상장지수투자신탁(주식-파생형),EV710,K55101EV7101,20260522,1
일치,0139P0,ACE 고배당주,한국투자 ACE 고배당주Plus커버드콜액티브 증권 상장지수투자신탁(주식-파생형),EV628,K55101EV6285,20260601,2
일치,0199C0,ACE 고배당주Plus커버드콜액티브,한국투자 ACE 고배당주Plus커버드콜액티브 증권 상장지수투자신탁(주식-파생형),EV628,K55101EV6285,20260601,1
KRX매칭실패,225130,ACE 골드선물 레버리지(합성 H),,,,,0
