nttId,제목,파일명,바이트,형식,추출글자수,마스킹표기
229094,간편심사보험에서의 '질병으로 인한 입원'해석 및 고지의무 위반 여부,제2026-9호(게시용).hwp,520704,HWP 5.0,19742,●●손해보험
229093,간편심사보험에서의 '추가검사'해석 및 고지의무 위반 여부,제2026-8호(게시용).hwp,144384,HWP 5.0,15582,●● / ●●보험
219340,(증권기타사례) 투자일임계좌의 운용상 불법행위로 인한 손해배상책임,제2026-6호(게시용).hwp,269824,HWP 5.0,20442,○○○ / ○○○은 / ●●증권
219340,(증권기타사례) 투자일임계좌의 운용상 불법행위로 인한 손해배상책임,제2026-7호(게시용).hwp,169472,HWP 5.0,19509,○○○ / ●●증권
218695,일반교통사고로 자동차손해배상보장법 시행령상 상해(1~3급)를 입힌 경우 형사합의금 지급 여부,(게시용)제2026-3호.hwp,409600,HWP 5.0,10902,●●손해보험
218695,일반교통사고로 자동차손해배상보장법 시행령상 상해(1~3급)를 입힌 경우 형사합의금 지급 여부,(게시용)제2026-4호.hwp,160768,HWP 5.0,12273,●●손해보험
218695,일반교통사고로 자동차손해배상보장법 시행령상 상해(1~3급)를 입힌 경우 형사합의금 지급 여부,(게시용)제2026-5호.hwp,176640,HWP 5.0,11882,●●손해보험
217927,(신용카드사례) 여행상품에 대한 할부거래법상 청약철회권 행사 가능여부 등,제2026-1호(게시용).hwp,166912,HWP 5.0,15295,○○○ / ●●소보 / ●●카드
217927,(신용카드사례) 여행상품에 대한 할부거래법상 청약철회권 행사 가능여부 등,제2026-2호(게시용).hwp,166912,HWP 5.0,14928,○○○ / ●●항공 / ●●항공의
217926,(증권기타사례) 사모펀드 불완전판매로 인한 손해배상책임 등,제2025-3호(게시용).hwp,145408,HWP 5.0,10983,▣ / ○○○ / ●●●●증권
217926,(증권기타사례) 사모펀드 불완전판매로 인한 손해배상책임 등,제2025-4호(게시용).hwp,153600,HWP 5.0,17144,▣ / ▣▣증권 / ○○○
217925,(증권기타사례) 사모펀드 불완전판매로 인한 손해배상책임 등,제2025-1호(게시용).hwp,144896,HWP 5.0,21249,▣ / ○○○ / ●●은행
217925,(증권기타사례) 사모펀드 불완전판매로 인한 손해배상책임 등,제2025-2호(게시용).hwp,148992,HWP 5.0,24172,▣ / ○○○○ / ●●증권
217925,(증권기타사례) 사모펀드 불완전판매로 인한 손해배상책임 등,글로벌채권+펀드+배상비율+산정기준(게시용).hwp,133632,HWP 5.0,1138,○
136595,(증권기타사례)사모펀드 불완전판매로 인한 손해배상책임 등,제2023-3호(게시용).hwp,769024,HWP 5.0,12501,▣▣ / ▣▣자산운용 / ▣▣자산운용에
