standardDt,uFundNm,koreanNm,standardCd,companyCd,tsCd,txCd,txVsn,announceTtl,seq,tmpV1,uRptGb,Status_GB
20260813,미래에셋TIGER로우볼증권상장지수투자신탁(주식),미래에셋자산운용,KR5301AH8119,A01048,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,KR5301AH8119,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassA-E,유진자산운용,K55214DT2291,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2291,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-E,유진자산운용,K55214DT2317,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2317,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-F,유진자산운용,K55214DT2325,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2325,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-P,유진자산운용,K55214DT2358,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2358,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-Pe,유진자산운용,K55214DT2366,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2366,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-R,유진자산운용,K55214DT2374,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2374,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-Re,유진자산운용,K55214DT2382,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2382,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassS,유진자산운용,K55214DT2390,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2390,O,운용
20260813,유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassS-P,유진자산운용,K55214DT2408,A01022,2OF11,2OF1101,5,소규모펀드(1개월)여부 공시,1,K55214DT2408,O,운용
