mgmt_code,mgmt_name,short_name,former_name
4C4,가우스자산운용,가우스,
3U3,갤럭시자산운용,갤럭시,
4I6,골드존자산운용,골드존,
309,골든브릿지자산운용,골든브릿지,
207,교보악사자산운용,교보악사,
4E4,구도자산운용,구도,
3Q1,국제자산운용,국제,
3E2,그로쓰힐자산운용,그로쓰힐,
395,글로벌원자산운용,글로벌원,아주자산운용(주)
3L2,나눔자산운용,나눔,
3Z3,누림자산운용,누림운용,누림투자자문
4G3,누버거버먼자산운용,누버거버먼,
4A6,다원자산운용,다원,
4E8,단디자산운용,단디,
3N3,대덕자산운용,대덕,
203,대신자산운용,대신,
3S3,더글로벌자산운용,더글로벌,
3S1,더블유더블유지자산운용,더블유더블유지,
4I4,더블유에스자산운용,더블유에스,
3K9,더블유자산운용,더블유,
4G9,더퍼블릭자산운용,더퍼블릭,
3S2,데이원자산운용,데이원,파란자산운용
3P5,도미넌트자산운용,도미넌트,아이스텀자산운용
4I7,두나미스자산운용,두나미스,
231,디더블유에스자산운용,DWS,도이치자산운용
216,디비자산운용,DB,
3W4,디셈버앤컴퍼니자산운용,디셈버,
3Q6,디스커버리자산운용,디스커버리,
3U1,디에스네트웍스자산운용,디에스네트웍스,
3F0,디에스자산운용,디에스,
3Y4,디와이자산운용,디와이,
3B3,라살자산운용,라살,
3H8,라이노스자산운용,라이노스,
3X8,라이언자산운용,라이언,
4D4,라이프자산운용,라이프,다름자산운용
367,라자드코리아자산운용,라자드코리아,
3P9,라쿤자산운용,라쿤,
3V3,람다자산운용,람다,
4F8,레드힐자산운용,레드힐,
4A7,레인메이커자산운용,레인메이커,
3J5,로만자산운용,로만,
3J2,로버스트자산운용,로버스트,
3S4,루트엔글로벌자산운용,루트엔글로벌,
3M8,르네상스자산운용,르네상스,트러스톤멀티자산운용
3M1,리딩자산운용,리딩,리딩에머슨자산운용
3F2,리운자산운용,리운,
238,리치먼드자산운용,리치먼드,마이어
3Z7,리치자산운용,리치운용,
4K4,리커버리자산운용,리커버리,
3P3,리코자산운용,리코,
3Q8,린드먼파트너스자산운용,린드먼,
4H5,릴라이언자산운용,릴라이언,
3R4,링크자산운용,링크,
4I5,마르스자산운용,마르스,
3S6,마스턴투자운용,마스턴,
3N6,마운틴자산운용,마운틴,
303,마이다스에셋자산운용,마이다스,
3P1,마이퍼스트에셋자산운용,마이퍼스트에셋,
3S7,마일스톤자산운용,마일스톤,
452,맥쿼리자산운용,맥쿼리,
3M3,머스트자산운용,머스트,
4D3,머큐리자산운용,머큐리,
205,멀티에셋자산운용,멀티에셋,KDB
3K7,메리츠대체투자운용,메리츠대체투자,메리츠부동산자산운용
365,메리츠자산운용,메리츠,메리츠종금
4G5,메자닌플러스자산운용,메자닌플러스,
3W1,메테우스자산운용,메테우스,
3E3,멜론자산운용,멜론,브로스자산운용
3W3,모네타자산운용,모네타,코펜자산운용
4F5,모다자산운용,모다,케이피에이치자산운용
3U9,모루자산운용,모루,
4H9,문채이스자산운용,문채이스,
301,미래에셋자산운용,미래에셋,
3X6,바로자산운용,바로,바로자산운용주식회사
3V2,바른자산운용,바른,
3M7,밸류시스템자산운용,밸류시스템,
3G7,밸류파트너스자산운용,밸류파트너스,
387,베스타스자산운용,베스타스,
302,베어링자산운용,베어링,SEI
3Y6,벨에포크자산운용,벨에포크,
3F8,보고펀드자산운용,보고펀드,
4K8,브라이트자산운용,브라이트,
4F9,브라이튼자산운용,브라이튼,신영투자운용
454,브레인자산운용,브레인,
104,브이아이자산운용,브이아이,하이자산운용
