saleCompCd,koreanNm
A02002,경남은행
A02003,광주은행
A02008,국민은행
A02005,부산은행
A02030,수협은행(舊)
A02011,스탠다드차타드은행
A02015,신한은행
A02019,아이비케이기업은행
A02004,아이엠뱅크
A02014,엔에이치농협은행
A02016,우리은행
A02028,전북은행
A02029,제주은행
A02079,카카오뱅크
A02024,하나은행(구.KEB하나은행)
A02023,한국산업은행
A02021,한국씨티은행
A02027,홍콩상하이은행 서울지점
A03031,DB증권
A03058,DS투자증권
A03024,KB증권
A03016,NH투자증권
A03015,교보증권
A03060,다올투자증권
A03011,대신증권
A03043,리딩투자증권
A03022,메리츠증권
A03006,미래에셋증권
A03037,부국증권
A03021,삼성증권
A03010,상상인증권
A03019,신영증권
A03004,신한투자증권
A03056,아이비케이투자증권
A03034,아이엠증권
A03002,에스케이증권
A03045,엘에스증권
A03126,우리투자증권
A03003,유안타증권
A03001,유진투자증권
A03005,유화증권
A03061,카카오페이증권
A03131,케이알투자증권
A03057,케이프투자증권
A03050,코리아에셋투자증권
A03044,키움증권
A03041,하나증권
A03040,한국투자증권
A03018,한양증권
A03025,한화투자증권
A03029,현대차증권
A03052,흥국증권
A04024,KB손해보험(구. LIG손해보험)
A04001,교보생명보험
A04014,미래에셋생명보험
A04003,삼성생명보험
A04019,삼성화재해상보험
A04016,신한라이프생명보험(주)
A04017,오렌지라이프생명보험
A04002,한화생명보험
A04021,현대해상화재보험
A18030,가산농업협동조합
A18034,강릉농업협동조합
A18026,경기 도드람양돈농업협동조합
A18050,광양농협
A18012,광주비아농업협동조합
A01015,교보악사자산운용
A01339,구도자산운용
A18053,구성농협
A18065,군위농협
A18070,금촌농협
A18064,기흥농협
A18063,김포고촌농협
A18031,김해축산업협동조합
A18041,남대전농업협동조합
A18008,남동농업협동조합
A18020,남서울농업협동조합
A18009,남인천농업협동조합
A01293,누림자산운용
A01053,다올자산운용
A01371,다인자산운용
A18002,대구축산업협동조합
A18042,대전축산농업협동조합
A18073,동광양농협
A18049,동서울농업협동조합
A18029,동창원농업협동조합
A01378,두나미스자산운용
A01024,디비자산운용
A01187,르네상스자산운용
A18054,마산시농업협동조합
A01230,마스턴투자운용
A01050,마이다스에셋자산운용
A01065,맥쿼리자산운용
A01182,머스트자산운용
A01048,미래에셋자산운용
A18035,반월농업협동조합
A01049,베어링자산운용
A18013,부경양돈농업협동조합
A18071,부천시흥원예농협
A18022,부평농업협동조합
A18001,북서울농업협동조합
A01266,브이아이피자산운용
A05004,비엔케이투자증권
A01157,비욘드자산운용
A01520,비피자산운용
A01115,삼성에스알에이자산운용
A01005,삼성자산운용
A18051,상주농협
A18014,서대전농업협동조합
A18015,서부농업협동조합
A18025,서울강동농협
A18040,서울강서농협협
A18016,서울경기양돈농업협동조합
A18007,서울서남부농협
A18010,송파농업협동조합
A18043,수원농업협동조합
A18068,수원오산화성축협
A01164,수협자산운용
A18003,순천농업협동조합
A01323,슬기자산운용
A18044,신김포농업협동조합
A18069,신도농협
A01017,신영자산운용
A01018,신한자산운용
A01163,씨스퀘어자산운용
A01216,아크임팩트자산운용
A01168,알펜루트자산운용
A18011,양주축산업협동조합
A01492,어반자산운용
A01303,얼터너티브자산운용
A01067,에셋플러스자산운용
A01546,에스아이자산운용
A01121,에이디에프자산운용
A01034,에이치디씨자산운용
A05003,엔에이치선물
A18024,여수농업협동조합
A18032,여천농업협동조합
A18017,영등포농업협동조합
A01366,와이드크릭자산운용
A01007,우리자산운용
D04001,우정사업본부
A18055,원주축산농협
A01054,유리자산운용
A18023,유성농업협동조합
A01387,이아이피자산운용
A01092,이지스자산운용
A01336,이현자산운용
A01142,인마크자산운용
A01395,인사이트자산운용
A18036,인천원예농업협동조합
A01526,인피니티글로벌자산운용
A18021,일산농업협동조합
A18033,장유농업협동조합
A18028,정읍농업협동조합
A07008,제너시스투자자문
A18019,중앙농업협동조합
A18052,중울산농협
A01357,지베스코자산운용
A01095,지지자산운용
A18056,진주동부농업협동조합
A18045,진주서부농업협동조합
A18058,진주원예농업협동조합
A18037,진해농업협동조합
A18004,천안농업협동조합
A18018,청주농업협동조합
A18027,청주축산농업협동조합
A18048,춘천농업협동조합
A18046,충북원예농업협동조합
A01041,칸서스자산운용
A01031,케이비자산운용
A01069,케이씨지아이자산운용
A01170,케이클라비스자산운용
A01057,코레이트자산운용
A01120,쿼드자산운용
A01178,쿼터백자산운용
A01014,키움투자자산운용
A01247,키웨스트글로벌자산운용
A01286,타이거대체투자운용
A01158,타임폴리오자산운용
A01410,토러스자산운용
A18072,통영농협
A01068,트러스톤자산운용
A18005,파주연천축산업협동조합
A18047,판부농업협동조합
A01183,퍼시픽자산운용
A01531,포스트자산운용
A01149,푸른파트너스자산운용
A07735,프라우스투자일임 주식회사
A01544,피나클자산운용
A01131,피데스자산운용
A01062,하나대체투자자산운용
A01002,하나자산운용
A01127,한국교통자산운용
A01001,한국투자신탁운용
A01021,한화자산운용
A01516,해디브자산운용
A01290,헤리티지자산운용
A01047,현대인베스트먼트자산운용
A18057,회덕농협
A01032,흥국자산운용
